App1 - SLLC,App1 - DRAM,App1 - NET,App2 - SLLC,App2 - DRAM,App2 - NET,Nivel de interferencia
Muito alto,Muito baixo,Muito baixo,Muito alto,Muito baixo,Muito baixo,Alto
Muito alto,Muito baixo,Muito baixo,Medio,Muito baixo,Muito baixo,Baixo
Muito alto,Baixo,Muito baixo,Baixo,Muito alto,Muito baixo,Muito baixo
Muito alto,Muito baixo,Muito baixo,Baixo,Muito alto,Muito baixo,Baixo
Muito alto,Muito baixo,Muito baixo,Baixo,Baixo,Muito alto,Muito baixo
Muito alto,Muito baixo,Baixo,Medio,Alto,Muito alto,Medio
Muito alto,Muito baixo,Muito baixo,Muito alto,Muito baixo,Muito alto,Muito alto
Alto,Muito baixo,Muito baixo,Alto,Muito baixo,Muito baixo,Medio
Muito baixo,Muito baixo,Muito alto,Muito baixo,Muito baixo,Alto,Baixo
Medio,Muito baixo,Muito baixo,Medio,Muito baixo,Muito baixo,Baixo
Medio,Muito baixo,Muito baixo,Muito baixo,Muito baixo,Muito baixo,Muito baixo
Medio,Muito baixo,Muito baixo,Baixo,Muito alto,Muito baixo,Muito baixo
Alto,Baixo,Muito baixo,Muito baixo,Baixo,Muito baixo,Muito baixo
Medio,Baixo,Muito baixo,Alto,Alto,Muito baixo,Baixo
Medio,Baixo,Muito alto,Muito alto,Muito baixo,Alto,Medio
Medio,Muito baixo,Baixo,Alto,Muito baixo,Muito baixo,Baixo
Baixo,Muito baixo,Muito alto,Baixo,Muito baixo,Muito alto,Muito baixo
Muito baixo,Muito baixo,Muito baixo,Muito baixo,Muito baixo,Muito baixo,Muito baixo
Muito baixo,Muito alto,Muito baixo,Baixo,Muito baixo,Baixo,Muito baixo
Muito baixo,Baixo,Muito baixo,Baixo,Alto,Muito baixo,Muito baixo
Baixo,Baixo,Muito baixo,Medio,Alto,Muito baixo,Muito baixo
Muito baixo,Muito baixo,Muito baixo,Muito alto,Muito baixo,Muito alto,Muito baixo
Muito baixo,Baixo,Muito alto,Alto,Muito baixo,Muito alto,Muito baixo
Muito baixo,Muito baixo,Muito baixo,Muito baixo,Muito baixo,Muito alto,Muito baixo
Baixo,Alto,Muito baixo,Baixo,Muito baixo,Baixo,Baixo
Baixo,Muito alto,Muito baixo,Muito baixo,Medio,Muito baixo,Muito baixo
Baixo,Muito alto,Muito alto,Alto,Alto,Muito baixo,Baixo
Baixo,Alto,Baixo,Muito alto,Muito baixo,Muito baixo,Baixo
Baixo,Muito alto,Muito baixo,Medio,Muito baixo,Muito alto,Baixo
Baixo,Muito alto,Muito baixo,Muito baixo,Muito baixo,Muito alto,Baixo
Muito baixo,Baixo,Baixo,Muito alto,Medio,Muito baixo,Muito baixo
Muito baixo,Medio,Muito baixo,Medio,Medio,Muito baixo,Muito baixo
