App1 - SLLC,App1 - DRAM,App1 - NET,App2 - SLLC,App2 - DRAM,App2 - NET,Nivel de interferencia
Muito alto,Muito baixo,Muito baixo,Muito alto,Muito baixo,Muito baixo,Alto
Muito alto,Muito baixo,Muito baixo,Medio,Muito baixo,Muito baixo,Baixo
Muito alto,Baixo,Muito baixo,Muito baixo,Baixo,Muito baixo,Muito baixo
Muito alto,Muito baixo,Muito baixo,Baixo,Muito alto,Muito baixo,Baixo
Muito alto,Muito baixo,Muito baixo,Muito baixo,Alto,Muito alto,Muito baixo
Muito alto,Muito baixo,Muito alto,Medio,Medio,Baixo,Medio
Muito alto,Muito baixo,Muito baixo,Muito alto,Muito baixo,Muito alto,Muito alto
Muito alto,Muito baixo,Muito baixo,Alto,Muito baixo,Alto,Medio
Alto,Muito baixo,Muito alto,Muito baixo,Muito baixo,Muito alto,Baixo
Medio,Muito baixo,Muito baixo,Medio,Muito baixo,Muito baixo,Baixo
Medio,Muito baixo,Muito baixo,Muito baixo,Muito baixo,Muito baixo,Muito baixo
Medio,Muito baixo,Muito baixo,Baixo,Muito alto,Muito baixo,Muito baixo
Baixo,Muito baixo,Muito baixo,Muito baixo,Alto,Muito baixo,Muito baixo
Medio,Baixo,Muito baixo,Alto,Medio,Muito baixo,Baixo
Medio,Baixo,Muito baixo,Muito alto,Muito baixo,Muito baixo,Medio
Medio,Muito baixo,Muito alto,Alto,Muito baixo,Muito alto,Baixo
Alto,Muito baixo,Muito alto,Muito baixo,Muito baixo,Muito alto,Muito baixo
Muito baixo,Muito baixo,Muito baixo,Muito baixo,Muito baixo,Muito baixo,Muito baixo
Muito baixo,Muito baixo,Muito baixo,Baixo,Alto,Muito alto,Muito baixo
Muito baixo,Muito alto,Muito baixo,Muito baixo,Baixo,Muito baixo,Muito baixo
Muito baixo,Baixo,Muito baixo,Medio,Baixo,Muito baixo,Muito baixo
Muito baixo,Muito baixo,Muito baixo,Muito alto,Muito baixo,Muito alto,Muito baixo
Muito baixo,Baixo,Baixo,Medio,Muito baixo,Muito alto,Muito baixo
Muito baixo,Muito baixo,Muito baixo,Muito baixo,Muito baixo,Muito alto,Muito baixo
Baixo,Muito alto,Muito baixo,Baixo,Alto,Baixo,Baixo
Baixo,Muito alto,Muito baixo,Muito baixo,Medio,Muito baixo,Muito baixo
Baixo,Muito alto,Muito baixo,Alto,Alto,Muito baixo,Baixo
Baixo,Muito baixo,Baixo,Muito alto,Muito baixo,Muito alto,Baixo
Baixo,Muito alto,Muito baixo,Medio,Muito baixo,Muito alto,Baixo
Baixo,Muito alto,Muito baixo,Muito baixo,Muito baixo,Muito alto,Baixo
Muito baixo,Alto,Muito baixo,Baixo,Medio,Muito baixo,Muito baixo
Muito baixo,Medio,Muito baixo,Medio,Medio,Muito baixo,Muito baixo
